AGG,SPY
114.41,382.37
115.34,380.01
115.09,389.43
115.11,386.56
114.69,381.4
114.36,376.6799
114.28,383.56
113.83,381.72
114.26,387.13
114.45,389.39
114.44,393.46
113.79,394.0
113.91,396.48
113.87,395.86
113.86,397.21
113.42,391.53
113.51,389.57
113.73,392.55
114.02,389.63
114.16,387.63
114.1,389.72
113.91,395.91
113.72,395.76
113.81,394.69
113.83,396.33
114.04,400.61
113.81,406.36
114.21,406.12
114.03,406.59
114.31,408.52
114.18,411.49
114.15,411.64
114.48,412.86
114.39,411.45
114.84,415.87
114.54,417.26
114.45,415.21
114.63,412.17
114.74,416.07
114.77,412.27
114.75,416.74
114.65,417.61
114.37,417.52
114.43,417.4
114.37,420.06
114.49,417.3
114.39,418.2
114.53,415.62
114.62,415.75
114.64,419.07
114.61,422.12
114.43,417.94
114.18,414.21
113.78,405.41
114.04,410.28
114.3,416.58
114.2,415.48
114.06,412.02
113.9,410.78
114.29,415.15
114.34,414.98
114.45,419.17
114.73,418.33
114.69,419.04
114.55,419.18
114.55,420.19
114.33,419.67
114.48,420.39
114.21,418.83
114.68,422.44
114.6,422.26
114.81,422.3
115.04,421.67
115.28,423.61
115.23,424.31
114.94,425.26
114.99,424.48
114.62,422.11
114.98,421.97
115.29,414.92
114.99,420.86
115.11,423.11
115.05,422.6
115.09,425.1
114.86,426.61
115.19,427.47
115.25,427.7
115.33,428.06
115.11,430.43
115.36,433.72
115.73,432.93
115.93,434.46
116.06,430.92
115.68,435.52
115.61,437.08
115.36,435.59
115.75,436.24
116.0,434.75
115.9,431.34
116.51,424.97
116.4,431.06
116.02,434.55
116.29,435.46
116.21,439.94
116.11,441.02
116.38,439.01
116.49,438.83
116.3,440.65
116.46,438.51
116.54,437.59
116.58,441.15
116.57,438.98
116.31,441.76
115.79,442.49
115.58,442.13
115.43,442.68
115.54,443.78
115.55,445.11
115.97,445.92
116.03,446.97
115.94,444.04
115.95,439.18
116.15,439.86
116.16,443.36
116.16,447.26
115.99,447.97
115.77,448.91
115.78,446.26
116.1,450.25
116.23,452.23
116.06,451.56
115.93,451.8
116.05,453.19
115.85,453.08
115.54,451.46
115.73,450.91
116.1,448.98
115.87,445.44
116.02,446.58
116.28,444.17
116.17,447.88
115.97,447.17
115.87,441.4
116.09,434.04
116.14,433.63
116.18,437.86
115.61,443.18
115.41,443.91
115.25,442.64
114.77,433.72
114.85,434.45
114.83,429.14
115.0,434.24
114.92,428.64
114.65,433.1
114.7,434.9
114.38,438.66
114.13,437.86
113.95,434.69
114.37,433.62
114.63,435.18
114.85,442.5
114.57,445.87
114.49,447.19
114.16,450.64
114.08,452.41
113.84,453.59
114.06,453.12
114.17,455.55
114.38,455.96
114.76,453.94
114.67,458.32
114.64,459.25
114.39,460.04
114.62,461.9
114.39,464.72
114.77,466.91
115.22,468.53
115.01,468.93
115.33,467.38
114.55,463.62
114.34,463.77
114.32,467.27
113.9,467.43
113.86,469.28
114.13,468.14
114.23,469.73
114.45,468.89
113.9,467.57
113.45,468.19
113.71,469.44
114.52,458.97
114.58,464.6
114.77,455.56
114.63,450.5
114.61,457.4
115.07,453.42
114.67,458.79
114.49,468.28
114.19,469.52
114.2,466.35
114.23,470.74
114.63,466.59
114.41,463.36
114.32,470.6
114.36,466.45
114.5,459.87
114.33,454.98
114.24,463.06
114.34,467.69
114.2,470.6
114.26,477.26
114.21,476.87
113.87,477.48
114.12,476.16
114.08,474.96
113.3,477.71
113.29,477.55
112.94,468.38
112.82,467.94
112.49,466.09
112.39,465.51
112.6,469.73
112.6,471.02
112.8,464.53
112.17,464.72
111.49,456.49
111.73,451.75
111.79,446.75
112.23,437.98
112.1,439.84
111.99,434.47
111.36,433.38
111.73,431.24
111.81,441.95
111.8,449.91
111.6,452.95
111.72,457.35
111.27,446.6
110.57,448.7
110.67,447.26
110.33,450.94
110.4,457.54
109.38,449.32
110.1,440.46
109.46,439.02
109.28,446.1
109.41,446.6
109.64,437.06
109.87,434.23
109.75,429.57
109.25,422.07
109.46,427.99
109.57,437.75
110.36,436.63
110.82,429.98
109.49,437.89
109.86,435.71
110.3,432.17
109.66,419.43
109.27,416.25
109.04,427.41
108.43,425.48
108.41,420.07
107.36,417.0
107.6,426.17
107.68,435.62
107.86,441.07
108.1,444.52
107.04,444.39
106.75,449.59
107.19,443.8
106.95,450.49
106.1,452.69
106.36,455.84
106.86,461.53
107.15,458.79
107.1,451.64
106.75,452.92
106.84,456.8
105.76,451.03
105.49,446.52
105.26,448.77
104.73,447.57
104.28,439.92
104.61,438.29
104.82,443.31
103.97,437.79
103.65,437.97
